Exame,Unidade,Referencia_Texto_Completo,Referencia_Paciente_Especifico,Sexo,Faixa_Etaria,Gestante,Data_Ultima_Atualizacao
25-Hidroxivitamina D,ng/mL,"DEFICIENTE : INFERIOR A 20,0 ng/mL ADEQUADO PARA A POPULAÇÃO GERAL: ENTRE 20,0 E 60,0 ng/mL IDEAL (GRUPOS DE RISCO) : DE 30,0 a 60,0 ng/mL RISCO DE INTOXICAÇÃO : SUPERIOR A 100,0 ng/mL NOTA: - Grupos de risco: idosos, pós cirurgia bariátrica, gestantes, osteomalácia, osteoporose, paciente com história de quedas e fraturas, hiperparatiroidismo secundário, uso de drogas que interferem no metabolismo da vitamina D, diabetes mellitus tipo 1, câncer, doença renal crônica e síndromes de má-absorção. 100 80 72,3 60 40,1 42,5 45,5 38,4 40","DEFICIENTE : INFERIOR A 20,0 ng/mL ADEQUADO PARA A POPULAÇÃO GERAL: ENTRE 20,0 E 60,0 ng/mL IDEAL (GRUPOS DE RISCO) : DE 30,0 a 60,0 ng/mL RISCO DE INTOXICAÇÃO : SUPERIOR A 100,0 ng/mL",Ambos,Ambos,FALSE,10/08/2026
Vitamina B12,pg/mL,DE 181 a 906 pg mL 2.000 1.500 1.000 679 882 863 734 500 0 30/06/25 25/10/25 19/02/26 10/08/26 10:27:26 08:01:21 07:37:35 07:52:29,DE 181 a 906 pg mL 2.000 1.500 1.000 679 882 863 734 500 0 30/06/25 25/10/25 19/02/26 10/08/26 10:27:26 08:01:21 07:37:35 07:52:29,Ambos,Ambos,FALSE,10/08/2026
Sódio,mEq/L,136 a 145 mEq/L Referencia : 180 160 140 134 136 136 120 100 25/10/25 19/02/26 10/08/26 08:01:21 07:37:35 07:52:29,136 a 145 mEq/L Referencia : 180 160 140 134 136 136 120 100 25/10/25 19/02/26 10/08/26 08:01:21 07:37:35 07:52:29,Ambos,Ambos,FALSE,10/08/2026
Creatinina Sérica,mg/dL,"referência: HOMEM : DE 0,60 A 1,30 mg/dL MULHER : DE 0,50 A 1,10 mg/dL IDADE SEXO MASCULINO SEXO FEMININO DE 0 A 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL DE 1 A 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL DE 4 A 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL DE 7 A 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL DE 12 A 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL DE 15 A 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL DE 17 A 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR","referência: HOMEM : DE 0,60 A 1,30 mg/dL MULHER : DE 0,50 A 1,10 mg/dL IDADE SEXO; FEMININO; 14 DIAS DE 0,42 A 1,05 mg/dL DE 0,42 A 1,05 mg/dL DE 15 DIAS A 11 MESES DE 0,31 A 0,53 mg/dL DE 0,31 A 0,53 mg/dL; 3 ANOS DE 0,39 A 0,55 mg/dL DE 0,39 A 0,55 mg/dL; 6 ANOS DE 0,44 A 0,65 mg/dL DE 0,44 A 0,65 mg/dL; 11 ANOS DE 0,52 A 0,69 mg/dL DE 0,52 A 0,69 mg/dL; 14 ANOS DE 0,57 A 0,80 mg/dL DE 0,57 A 0,80 mg/dL; 16 ANOS DE 0,65 A 1,04 mg/dL DE 0,59 A 0,86 mg/dL; 18 ANOS DE 0,69 A 1,10 mg/dL DE 0,60 A 0,88 mg/dL RITMO DE FILTRAÇÃO GLOMERULAR",Feminino,Ambos,FALSE,30/06/2025
Ácido Úrico,mg/dl,"HOMENS : DE 3,7 A 7,7 mg/dL Referencia : MULHERES: DE 2,5 A 6,2 mg/dL NOTA: - Pacientes em tratamento para gota, recomenda-se níveis séricos de ácido úrico abaixo de 6 mg/dL. 10 8 5,8 6 3,8 4,3 3,8 4 2 30/06/25 25/10/25 19/02/26 10/08/26 10:27:26 08:01:21 07:37:35 07:52:29","HOMENS : DE 3,7 A 7,7 mg/dL Referencia : MULHERES: DE 2,5 A 6,2 mg/dL",Feminino,Ambos,FALSE,10/08/2026
TGO (AST),U/L,"referência:HOMEM (ADULTOS) INFERIOR A 50 U/L MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS 25 A 75 U/L INFANTIL 15 A 60 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 12,3% Erro Total Permitido..............................: 16,69% FONTE: James Westgard - EUA 100 80 60 40 22 22 28 35 27 20 14 0","referência:HOMEM (ADULTOS) INFERIOR A 50 U/L MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS 25 A 75 U/L INFANTIL 15 A 60 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 12,3% Erro Total Permitido; : 16,69%",Feminino,Adulto,FALSE,25/02/2025
TGP (ALT),U/L,"HOMEM (ADULTOS) INFERIOR A 50 U/L Referencia : MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS/CRIANCA COM MENOS DE 7 ANOS 13 A 45 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 19,40% Erro Total Permitido..............................: 27,48% FONTE: James Westgard - EUA 80 60 40 24 20 13 10 18 17 17 0 21/03/20 08/07/20 24/04/21 21/10/22 04/01/24 25/02/25","HOMEM (ADULTOS) INFERIOR A 50 U/L Referencia : MULHER (ADULTOS) INFERIOR A 35 U/L RECEM NASCIDOS/CRIANCA COM MENOS DE 7 ANOS 13 A 45 U/L Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 19,40% Erro Total Permitido; : 27,48%",Feminino,Adulto,FALSE,25/02/2025
Gama Gt,U/L,"HOMENS ADULTOS INFERIOR A 55 U/L Referencia : MULHERES ADULTAS INFERIOR A 38 U/L CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 A 182 DIAS 12 A 122 15 A 132 183 A 365 DIAS 1 A 39 1 A 39 1 A 12 ANOS 3 A 22 4 A 22 13 A 18 ANOS 2 A 42 4 A 24 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 13,4% 100 80 60 40 20 13,00 13,00 17,00 18,00 17,00 13,00","HOMENS ADULTOS INFERIOR A 55 U/L Referencia : MULHERES ADULTAS INFERIOR A 38 U/L CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 A 182 DIAS 12 A 122 15 A 132 183 A 365 DIAS 1 A 39 1 A 39 1 A 12 ANOS 3 A 22 4 A 22 13 A 18 ANOS 2 A 42 4 A 24 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 13,4% 100 80 60 40 20 13,00 13,00 17,00 18,00 17,00 13,00",Feminino,Adulto,FALSE,25/02/2025
Fosfatase Alcalina,U/L,"ADULTOS > A 17 ANOS: 30 A 120 U/L Referencia : CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 - 30 DIAS 75 A 316 48 A 406 30D A 1 ANO 82 A 383 124 A 341 1 A 3 ANOS 104 A 345 108 A 317 4 A 6 ANOS 93 A 309 96 A 297 7 A 9 ANOS 86 A 315 69 A 325 10 A 12 ANOS 42 A 362 51 A 332 13 A 15 ANOS 74 A 390 50 A 162 16 A 18 ANOS 52 A 171 47 A 119 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 6,45% Erro Total Permitido..............................: 12,04%","ADULTOS > A 17 ANOS: 30 A 120 U/L Referencia : CRIANCAS HOMENS(U/L) MULHERES(U/L) 1 - 30 DIAS 75 A 316 48 A 406 30D A 1 ANO 82 A 383 124 A 341 1 A 3 ANOS 104 A 345 108 A 317 4 A 6 ANOS 93 A 309 96 A 297 7 A 9 ANOS 86 A 315 69 A 325 10 A 12 ANOS 42 A 362 51 A 332 13 A 15 ANOS 74 A 390 50 A 162 16 A 18 ANOS 52 A 171 47 A 119 Especificacoes da Qualidade Analitica: Coeficiente de Variacao Biologica Intra-Individual: 6,45% Erro Total Permitido; : 12,04%",Feminino,Adulto,FALSE,25/02/2025
Cpk Creatino Fosfoquinase,U/L,HOMENS : INFERIOR OU IGUAL A 200 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 180 U/L Atenção para alteração no valor de referência a partir de 11/06/25 1.500 1.000 500 142 186 71 0 25/10/25 19/02/26 10/08/26 08:01:21 07:37:35 07:52:29,HOMENS : INFERIOR OU IGUAL A 200 U/L Referencia : MULHERES: INFERIOR OU IGUAL A 180 U/L,Feminino,Ambos,FALSE,10/08/2026
